wavelength,fit numbers
6186.767850650795,781.8698665201664
6187.749241781422,782.5139151513577
6188.730632912049,783.070710092783
6189.712024042677,783.5421562194824
6190.693415173304,783.9301588535309
6191.674806303931,784.2366228699684
6192.656197434559,784.463453412056
6193.637588565186,784.6125554740429
6194.618979695813,784.6858342289925
6195.600370826441,784.6851945519447
6196.581761957068,784.6125417351723
6197.563153087695,784.4697806537151
6198.544544218323,784.2588164508343
6199.52593534895,783.9815541803837
6200.507326479577,783.639898866415
6201.488717610205,783.2357556521893
6202.470108740832,782.7710295319557
6203.451499871459,782.2476254999638
6204.432891002087,781.667448759079
6205.414282132714,781.0324042737484
6206.395673263341,780.3443972170353
6207.377064393969,779.605332493782
6208.358455524596,778.8171153068542
6209.3398466552235,777.981650531292
6210.321237785851,777.1008434295654
6211.302628916477,776.176598995924
6212.284020047105,775.210822224617
6213.265411177732,774.2054182291031
6214.246802308359,773.1622920930386
6215.228193438987,772.0833488106728
6216.209584569614,770.9704934954643
6217.190975700241,769.8256312012672
6218.172366830869,768.6506670117378
6219.153757961496,767.4475059509277
6220.135149092123,766.2180530130863
6221.116540222751,764.9642134010792
6222.097931353378,763.6878921091557
6223.079322484005,762.3909941315651
6224.060713614633,761.0754246413708
6225.04210474526,759.7430886924267
6226.023495875887,758.3958912193775
6227.004887006515,757.0357373952866
6227.986278137142,755.6645322442055
6228.967669267769,754.2841808795929
6229.949060398397,752.8965882062912
6230.930451529024,751.5036595463753
6231.9118426596515,750.1072997450829
6232.893233790279,748.7094138860703
6233.874624920906,747.3119071125984
6234.8560160515335,745.9166843891144
6235.837407182161,744.5256509184837
6236.818798312788,743.1407115757465
6237.800189443416,741.7637715637684
6238.781580574043,740.396735906601
6239.76297170467,739.0415096580982
6240.744362835298,737.6999978721142
6241.725753965925,736.3741056323051
6242.707145096552,735.0657379925251
6243.68853622718,733.7767999470234
6244.669927357807,732.5091965794563
6245.651318488434,731.9413310997188
6246.632709619062,730.3521214984357
6247.614100749689,728.8042825050652
6248.595491880316,727.2973668910563
6249.576883010944,725.830927465111
6250.558274141571,724.4045170433819
6251.539665272198,723.0176884047687
6252.521056402826,721.6699943579733
6253.502447533453,720.360987726599
6254.48383866408,719.0902213044465
6255.465229794708,717.8572478927672
6256.446620925335,716.6616203077137
6257.428012055962,715.5028913356364
6258.40940318659,714.3806137926877
6259.390794317216,713.294340480119
6260.372185447844,712.2436241917312
6261.353576578471,711.2280177585781
6262.334967709098,710.2470739595592
6263.316358839726,709.3003456108272
6264.297749970353,708.3873855285347
6265.27914110098,707.5077464915812
6266.260532231608,706.6609813086689
6267.241923362235,705.8466428034008
6268.223314492862,705.0642837621272
6269.20470562349,704.3134569935501
6270.186096754117,703.5937152989209
6271.167487884744,702.904611479491
6272.148879015372,702.245698351413
