DATE-OBS,Target Flux,Target Flux Error,Rescaled Ref Fluxes,r,r error,TrES Norm,TrES Norm error
2460220.6084324075,54315.03,269.1703,15995.808005709983,3.3955790154902648,0.024690649968374622,1.0058790875735841,0.007314160073580716
2460220.6088449075,53595.91,269.8818,15876.822421902056,3.37573278681158,0.024861498045132924,1.0,0.007364770737264103
2460220.609253646,53782.43,269.7354,15945.293256702118,3.372934516421904,0.024732650060980774,0.9991710628280152,0.007326601844081699
2460220.6096647107,54070.61,269.9908,16036.102099719774,3.37180504737151,0.0246163622976199,0.9988364779773402,0.007292153689946042
2460220.610072627,53088.97,271.0383,15950.563502323655,3.328344480887216,0.02466679228781216,0.9859620684108936,0.007307092665681705
2460220.6104854397,53543.28,269.9512,15974.575753823678,3.35178103162983,0.02462816912006463,0.9929047241904557,0.007295651248310513
2460220.61089853,53678.11,270.5701,15856.186465275428,3.385310214253184,0.02499717149347466,1.0028371402733716,0.007404961551202868
2460220.6113010766,53735.26,269.903,15976.06911380232,3.363484447721631,0.02466166777062979,0.9963716502864797,0.007305574619821444
2460220.61163088,54187.02,270.0238,16008.121413643574,3.384970578360113,0.02471039634708959,1.0027365292610315,0.007320009582402064
2460220.612032905,53653.2,269.6275,15876.800047755409,3.379345953757555,0.024855106862971953,1.001070335590569,0.007362877464732005
2460220.612435486,53667.81,268.7904,15761.134190830813,3.4050728424875505,0.02505560173529262,1.0086914627219894,0.007422270457300601
2460220.612842072,53443.63,269.3217,15851.707008676452,3.3714747547849298,0.02483214850230041,0.9987386347511611,0.007356076464142967
2460220.613244433,53894.14,269.8817,15810.252690884947,3.408809527191901,0.025096641567108068,1.0097983882224169,0.007434427767848339
2460220.6136466437,53573.59,269.6324,15628.3517661971,3.427974414798845,0.02543800197922039,1.0154756407827552,0.007535549637874888
2460220.6140490742,53679.59,268.8208,16166.823603707131,3.320354778145226,0.024107107190522253,0.9835952629655088,0.007141296042359947
2460220.6144512845,53994.43,268.746,15874.87003856497,3.4012517815157435,0.024866337577278626,1.007559542272973,0.007366204361443306
2460220.614853461,53104.14,269.3342,15908.490558643638,3.3381004818930897,0.0246151461617504,0.9888521078843937,0.007291793431612133
2460220.615255741,53698.62,269.9423,15870.953027721926,3.383452770996435,0.024907336904131553,1.0022869061837523,0.007378349673125884
2460220.6156579745,53241.14,269.2846,15824.49737148442,3.3644758977267726,0.024849344035225852,0.9966653494824038,0.007361170330870991
2460220.616068681,53542.69,268.5012,15808.324166859602,3.386993424150949,0.024889169498852608,1.0033357608704583,0.007372967906728401
2460220.61647941,54577.8,269.2573,15830.727427149159,3.447586363365775,0.025164136658533894,1.0212853270954725,0.007454421972273973
2460220.6168815973,53369.61,268.2521,16121.330724232801,3.3104965658807184,0.0240921353166572,0.9806749452487091,0.00713686089455336
2460220.6173256133,54097.12,269.2489,15772.313996451567,3.429878457414093,0.025186943271658626,1.0160396790925073,0.007461178020387092
2460220.6177278357,53916.41,269.1025,15769.652167320199,3.4189980494136822,0.025126420353115693,1.0128165543111505,0.0074432491965242
2460220.6181302313,53282.58,269.4139,15809.619351567579,3.3702633071122516,0.024910818638513924,0.9983797652110686,0.0073793810741881885
2460220.6185324304,53567.69,268.8459,15937.378641475825,3.3611355546635586,0.024622776149385274,0.9956758330502193,0.007294053677939888
2460220.618934699,53752.17,269.2715,15960.175106149527,3.367893500071252,0.024645702226858426,0.9976777525842819,0.007300845115213218
2460220.6193367825,53343.26,268.3073,15426.486868425649,3.4579007167977416,0.025766362071897423,1.0243407684124697,0.007632820397562942
2460220.6197388195,53059.78,268.7381,15013.911987225782,3.5340409644831148,0.02684622700041135,1.046895944575358,0.007952710921105794
2460220.620140972,53097.85,268.7752,15259.094962114988,3.4797509375117204,0.026188837481788515,1.0308135025101874,0.007757971123811664
2460220.620543206,52576.58,269.5545,15597.154895407177,3.3709083709543712,0.02526408051331976,0.9985708537488344,0.007484028538047286
2460220.6209454397,52408.02,269.0297,15497.03883038458,3.381808652195229,0.025421575508749742,1.0017998656195142,0.007530683592038907
2460220.621347627,52946.36,268.3659,15645.178320380768,3.3841966461339386,0.025129454920151433,1.0025072657869798,0.007444148132318999
2460220.6217523613,52729.49,267.6428,15622.403146371735,3.3752483216544245,0.02505418579806548,0.9998564859283151,0.00742185101141535
2460220.622164456,52671.71,268.6093,15610.42649142209,3.3741365124740854,0.025162792506704276,0.9995271324958743,0.007454023791519006
2460220.6225742707,52621.48,267.5969,15751.959606531775,3.3406307097295853,0.0247163422291634,0.9896016422807123,0.007321770942808622
2460220.622987743,52262.11,267.9491,15708.929607071277,3.3269045891245534,0.024758833768720668,0.9855355264262058,0.007334358295611923
2460220.6233949536,52353.93,267.5737,15447.982046155394,3.3890465332997683,0.025390268338520823,1.0039439574542757,0.007521409407082316
